Name,Location,Rank,Tuition and fees,In-state,Undergrad Enrollment
Drexel University,"Philadelphia, PA",96,"$51,030 ",,"14,138"
Saint Louis University,"St. Louis, MO",96,"$40,726 ",,"8,248"
Stony Brook University--SUNY,"Stony Brook, NY",96,"$26,266 ","$9,026 ","16,831"
Auburn University,"Auburn, AL",99,"$28,840 ","$10,696 ","21,786"
Loyola University Chicago,"Chicago, IL",99,"$41,384 ",,"11,079"
SUNY College of Environmental Science and Forestry,"Syracuse, NY",99,"$17,620 ","$7,770 ","1,839"
University at Buffalo--SUNY,"Buffalo, NY",99,"$26,270 ","$9,770 ","19,951"
Illinois Institute of Technology,"Chicago, IL",103,"$45,214 ",,"2,991"
University of Alabama,"Tuscaloosa, AL",103,"$26,950 ","$10,470 ","31,958"
University of Oregon,"Eugene, OR",103,"$33,442 ","$10,762 ","20,538"
University of Tennessee,"Knoxville, TN",103,"$30,858 ","$12,668 ","21,863"
Rochester Institute of Technology,"Rochester, NY",107,"$38,568 ",,"12,607"
University of New Hampshire,"Durham, NH",107,"$31,424 ","$17,624 ","13,034"
University of San Francisco,"San Francisco, CA",107,"$44,494 ",,"6,782"
University of South Carolina,"Columbia, SC",107,"$31,282 ","$11,854 ","25,237"
Iowa State University,"Ames, IA",111,"$21,483 ","$7,969 ","30,034"
University of Dayton,"Dayton, OH",111,"$40,940 ",,"8,665"
University of Missouri,"Columbia, MO",111,"$25,892 ","$9,518 ","27,812"
University of Nebraska--Lincoln,"Lincoln, NE",111,"$23,148 ","$8,628 ","20,182"
University of Oklahoma,"Norman, OK",111,"$21,451 ","$8,065 ","22,132"
University of the Pacific,"Stockton, CA",111,"$44,588 ",,"3,735"
University of Utah,"Salt Lake City, UT",111,"$27,039 ","$8,518 ","23,794"
Michigan Technological University,"Houghton, MI",118,"$30,968 ","$14,634 ","5,721"
Seton Hall University,"South Orange, NJ",118,"$39,258 ",,"6,090"
Temple University,"Philadelphia, PA",118,"$25,994 ","$15,688 ","28,609"
University of California--Riverside,"Riverside, CA",118,"$40,263 ","$13,581 ","18,608"
University of Kansas,"Lawrence, KS",118,"$25,932 ","$10,549 ","19,245"
University of St. Thomas,"St. Paul, MN",118,"$39,594 ",,"6,240"
The Catholic University of America,"Washington, DC",124,"$42,536 ",,"3,480"
DePaul University,"Chicago, IL",124,"$37,626 ",,"15,961"
Duquesne University,"Pittsburgh, PA",124,"$35,062 ",,"5,961"
Howard University,"Washington, DC",124,"$24,908 ",,"6,883"
University of Arizona,"Tucson, AZ",124,"$30,025 ","$10,872 ","33,732"
Arizona State University--Tempe,"Tempe, AZ",129,"$25,458 ","$10,158 ","41,828"
Clarkson University,"Potsdam, NY",129,"$46,132 ",,"3,257"
Colorado State University,"Fort Collins, CO",129,"$28,374 ","$11,080 ","24,433"
New School,"New York, NY",129,"$45,535 ",,"6,792"
Hofstra University,"Hempstead, NY",133,"$42,160 ",,"6,824"
University of Kentucky,"Lexington, KY",133,"$26,334 ","$11,484 ","22,705"
Kansas State University,"Manhattan, KS",135,"$23,429 ","$9,350 ","19,859"
Louisiana State University--Baton Rouge,"Baton Rouge, LA",135,"$27,005 ","$9,842 ","26,156"
Mercer University,"Macon, GA",135,"$35,130 ",,"4,667"
New Jersey Institute of Technology,"Newark, NJ",135,"$30,326 ","$16,108 ","8,008"
Rutgers University--Newark,"Newark, NJ",135,"$29,480 ","$13,829 ","7,713"
University of Arkansas,"Fayetteville, AR",135,"$23,168 ","$8,820 ","22,159"
University of Cincinnati,"Cincinnati, OH",135,"$26,334 ","$11,000 ","25,054"
University of Mississippi,"University, MS",135,"$22,012 ","$7,744 ","18,785"
George Mason University,"Fairfax, VA",143,"$32,582 ","$11,300 ","23,062"
Oregon State University,"Corvallis, OR",143,"$28,846 ","$10,366 ","24,612"
Washington State University,"Pullman, WA",143,"$25,673 ","$11,041 ","24,470"
Adelphi University,"Garden City, NY",146,"$34,034 ",,"4,852"
Ohio University,"Athens, OH",146,"$21,208 ","$11,744 ","23,513"
San Diego State University,"San Diego, CA",146,"$18,244 ","$7,084 ","29,234"
St. John Fisher College,"Rochester, NY",146,"$31,880 ",,"2,805"
University at Albany--SUNY,"Albany, NY",146,"$22,244 ","$9,124 ","12,908"
University of Texas--Dallas,"Richardson, TX",146,"$33,654 ","$12,162 ","15,575"
Illinois State University,"Normal, IL",152,"$20,886 ","$13,296 ","18,426"
Immaculata University,"Immaculata, PA",152,"$35,210 ",,"1,790"
Oklahoma State University,"Stillwater, OK",152,"$20,978 ","$7,778 ","21,046"
University of California--Merced,"Merced, CA",152,"$39,944 ","$13,262 ","6,237"
University of Illinois--Chicago,"Chicago, IL",152,"$26,526 ","$13,670 ","17,575"
University of La Verne,"La Verne, CA",152,"$39,900 ",,"2,864"
University of Massachusetts--Lowell,"Lowell, MA",152,"$29,125 ","$13,427 ","13,266"
Seattle Pacific University,"Seattle, WA",159,"$38,940 ",,"3,202"
University of Alabama--Birmingham,"Birmingham, AL",159,"$17,654 ","$7,766 ","11,511"
University of Maryland--Baltimore County,"Baltimore, MD",159,"$24,492 ","$11,264 ","11,243"
University of Rhode Island,"Kingston, RI",159,"$28,852 ","$12,862 ","13,641"
University of South Florida,"Tampa, FL",159,"$17,325 ","$6,410 ","31,111"
Biola University,"La Mirada, CA",164,"$36,696 ",,"4,225"
Maryville University of St. Louis,"St Louis, MO",164,"$27,958 ",,"2,795"
Missouri University of Science & Technology,"Rolla, MO",164,"$26,152 ","$9,628 ","6,841"
St. John's University,"Queens, NY",164,"$39,460 ",,"16,210"
Virginia Commonwealth University,"Richmond, VA",164,"$31,608 ","$13,076 ","24,051"
Union University,"Jackson, TN",169,"$30,420 ",,"2,829"
University of Hawaii--Manoa,"Honolulu, HI",169,"$33,764 ","$11,732 ","13,689"
Edgewood College,"Madison, WI",171,"$27,530 ",,"1,813"
Florida Institute of Technology,"Melbourne, FL",171,"$40,446 ",,"3,586"
University of Idaho,"Moscow, ID",171,"$22,040 ","$7,232 ","9,116"
University of Louisville,"Louisville, KY",171,"$24,626 ","$10,738 ","15,769"
University of Wyoming,"Laramie, WY",171,"$16,215 ","$5,055 ","10,045"
Ball State University,"Muncie, IN",176,"$25,428 ","$9,654 ","16,602"
Lipscomb University,"Nashville, TN",176,"$29,756 ",,"3,030"
Mississippi State University,"Mississippi State, MS",176,"$20,142 ","$7,502 ","17,421"
Montclair State University,"Montclair, NJ",176,"$20,318 ","$11,771 ","16,336"
Texas Tech University,"Lubbock, TX",176,"$22,861 ","$10,622 ","29,237"
University of Central Florida,"Orlando, FL",176,"$22,467 ","$6,368 ","54,513"
University of New Mexico,"Albuquerque, NM",176,"$21,302 ","$7,071 ","20,522"
Andrews University,"Berrien Springs, MI",183,"$27,684 ",,"1,733"
Azusa Pacific University,"Azusa, CA",183,"$36,120 ",,"5,883"
University of Maine,"Orono, ME",183,"$29,498 ","$10,628 ","9,297"
West Virginia University,"Morgantown, WV",183,"$21,432 ","$7,632 ","22,498"
Widener University,"Chester, PA",183,"$42,870 ",,"3,554"
Kent State University,"Kent, OH",188,"$18,376 ","$10,012 ","23,607"
North Dakota State University,"Fargo, ND",188,"$19,790 ","$9,046 ","12,037"
Pace University,"New York, NY",188,"$42,772 ",,"8,747"
Robert Morris University,"Moon Township, PA",188,"$28,250 ",,"4,497"
Suffolk University,"Boston, MA",188,"$35,578 ",,"5,565"
University of Hartford,"West Hartford, CT",188,"$37,790 ",,"5,246"
Bowling Green State University,"Bowling Green, OH",194,"$18,332 ","$10,796 ","14,334"
University of Houston,"Houston, TX",194,"$25,410 ","$10,710 ","34,716"
Western Michigan University,"Kalamazoo, MI",194,"$25,713 ","$11,029 ","18,567"
Indiana University-Purdue University--Indianapolis,"Indianapolis, IN",197,"$29,791 ","$9,205 ","21,985"
Lesley University,"Cambridge, MA",197,"$25,750 ",,"1,520"
University of Alabama--Huntsville,"Huntsville, AL",197,"$20,622 ","$9,128 ","6,013"
University of Colorado--Denver,"Denver, CO",197,"$29,334 ","$10,404 ","14,036"
University of Nevada--Reno,"Reno, NV",197,"$21,052 ","$7,142 ","17,770"
California State University--Fullerton,"Fullerton, CA",202,"$17,596 ","$6,436 ","33,144"
Central Michigan University,"Mount Pleasant, MI",202,"$23,670 ","$12,150 ","20,498"
Louisiana Tech University,"Ruston, LA",202,"$25,851 ","$8,853 ","10,682"
South Dakota State University,"Brookings, SD",202,"$11,403 ","$8,172 ","11,007"
University of Alaska--Fairbanks,"Fairbanks, AK",202,"$22,469 ","$7,799 ","7,610"
University of North Carolina--Charlotte,"Charlotte, NC",202,"$20,193 ","$6,617 ","22,732"
University of North Dakota,"Grand Forks, ND",202,"$18,899 ","$4,965 ","11,577"
University of South Dakota,"Vermillion, SD",202,"$11,688 ","$8,457 ","7,435"
East Carolina University,"Greenville, NC",210,"$22,904 ","$6,946 ","23,039"
Montana State University,"Bozeman, MT",210,"$23,042 ","$7,031 ","13,707"
Old Dominion University,"Norfolk, VA",210,"$27,028 ","$10,048 ","20,101"
University of Missouri--Kansas City,"Kansas City, MO",210,"$22,714 ","$9,551 ","11,253"
Ashland University,"Ashland, OH",214,"$20,392 ",,"3,716"
Dallas Baptist University,"Dallas, TX",214,"$26,180 ",,"3,315"
Northern Illinois University,"DeKalb, IL",214,"$23,799 ","$14,334 ","15,027"
Nova Southeastern University,"Ft. Lauderdale, FL",214,"$27,660 ",,"4,641"
Southern Illinois University--Carbondale,"Carbondale, IL",214,"$27,130 ","$13,481 ","13,031"
University of Montana,"Missoula, MT",214,"$24,562 ","$6,446 ","8,732"
Benedictine University,"Lisle, IL",220,"$32,170 ",,"3,347"
California State University--Fresno,"Fresno, CA",220,"$17,209 ","$6,313 ","21,482"
Gardner-Webb University,"Boiling Springs, NC",220,"$29,850 ",,"2,615"
New Mexico State University,"Las Cruces, NM",220,"$21,234 ","$6,729 ","12,526"
Shenandoah University,"Winchester, VA",220,"$31,322 ",,"2,010"
Tennessee Technological University,"Cookeville, TN",220,"$24,800 ","$16,311 ","9,801"
University of Massachusetts--Boston,"Boston, MA",220,"$32,023 ","$13,435 ","12,949"
University of Massachusetts--Dartmouth,"North Dartmouth, MA",220,"$19,270 ","$12,588 ","7,295"
University of Missouri--St. Louis,"St. Louis, MO",220,"$26,277 ","$10,065 ","13,569"
University of North Carolina--Greensboro,"Greensboro, NC",220,"$21,595 ","$6,733 ","15,951"
University of Southern Mississippi,"Hattiesburg, MS",220,"$16,094 ","$7,224 ","11,840"
Utah State University,"Logan, UT",220,"$19,772 ","$6,866 ","25,259"
